C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\EnvironmentalConditionsPanel.tsx: line 16, col 3, Warning - 'MenuItem' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\EnvironmentalConditionsPanel.tsx: line 17, col 3, Warning - 'FormControl' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\EnvironmentalConditionsPanel.tsx: line 18, col 3, Warning - 'InputLabel' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\EnvironmentalConditionsPanel.tsx: line 68, col 3, Warning - 'onLocationChange' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\EnvironmentalConditionsPanel.tsx: line 77, col 10, Warning - 'selectedTimeRange' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\EnvironmentalConditionsPanel.tsx: line 77, col 29, Warning - 'setSelectedTimeRange' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\LocationIntelligencePanel.tsx: line 39, col 17, Warning - 'MyLocationIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\dashboard\LocationIntelligencePanel.tsx: line 40, col 10, Warning - 'MapIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\social-hub\EnhancedSocialHub.tsx: line 45, col 10, Warning - 'presets' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\social-hub\EnhancedSocialHub.tsx: line 143, col 9, Warning - 'posts' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\social-hub\EnhancedSocialHub.tsx: line 182, col 9, Warning - 'handleMediaOptimization' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 21, col 3, Warning - 'ColorPicker' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 24, col 3, Warning - 'List' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 25, col 3, Warning - 'ListItem' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 26, col 3, Warning - 'ListItemText' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 27, col 3, Warning - 'ListItemIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 28, col 3, Warning - 'Divider' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 38, col 20, Warning - 'DragIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 40, col 14, Warning - 'PaletteIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 41, col 17, Warning - 'LayoutIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 44, col 10, Warning - 'WeatherEstimationService' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 44, col 36, Warning - 'PressureReading' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\InvestigationOverlay.tsx: line 106, col 3, Warning - 'onDataUpdate' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 11, col 3, Warning - 'LinearProgress' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 30, col 3, Warning - 'Tooltip' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 37, col 11, Warning - 'ChatIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\knoxw\StudioProjects\tacctile_desktop\src\components\streaming\StreamingDashboard.tsx: line 38, col 17, Warning - 'ViewersIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
